"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 17:29:41 GMT 2022","Thu Nov 10 17:29:51 GMT 2022","9318","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the MS Teams integrations page in the marketplace from the Main page",""
"passed","Thu Nov 10 18:09:00 GMT 2022","Thu Nov 10 18:09:09 GMT 2022","8668","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
"passed","Thu Nov 10 17:32:05 GMT 2022","Thu Nov 10 17:32:17 GMT 2022","11997","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 17:49:47 GMT 2022","Thu Nov 10 17:50:36 GMT 2022","48730","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website with blocked account with valid data on the Main page",""
"passed","Thu Nov 10 17:30:11 GMT 2022","Thu Nov 10 17:30:22 GMT 2022","10613","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"passed","Thu Nov 10 17:57:19 GMT 2022","Thu Nov 10 17:57:30 GMT 2022","11694","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"passed","Thu Nov 10 17:43:59 GMT 2022","Thu Nov 10 17:45:05 GMT 2022","65902","webkit","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for the ""Messaging API"" service",""
"passed","Thu Nov 10 17:36:05 GMT 2022","Thu Nov 10 17:36:18 GMT 2022","13149","webkit","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
"passed","Thu Nov 10 17:14:49 GMT 2022","Thu Nov 10 17:15:04 GMT 2022","15639","chromium","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"passed","Thu Nov 10 17:15:32 GMT 2022","Thu Nov 10 17:15:38 GMT 2022","5629","chromium","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for the ""Messaging API"" service",""
"passed","Thu Nov 10 17:56:21 GMT 2022","Thu Nov 10 17:56:43 GMT 2022","21631","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"passed","Thu Nov 10 17:24:39 GMT 2022","Thu Nov 10 17:24:47 GMT 2022","7985","firefox","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"passed","Thu Nov 10 17:15:04 GMT 2022","Thu Nov 10 17:15:12 GMT 2022","8144","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"passed","Thu Nov 10 17:23:53 GMT 2022","Thu Nov 10 17:24:02 GMT 2022","8711","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without email with valid data on the Main page",""
"passed","Thu Nov 10 17:50:36 GMT 2022","Thu Nov 10 17:51:20 GMT 2022","43537","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 17:46:55 GMT 2022","Thu Nov 10 17:47:45 GMT 2022","50500","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"passed","Thu Nov 10 17:57:03 GMT 2022","Thu Nov 10 17:57:11 GMT 2022","7396","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"passed","Thu Nov 10 17:14:57 GMT 2022","Thu Nov 10 17:15:07 GMT 2022","10190","chromium","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"passed","Thu Nov 10 17:28:56 GMT 2022","Thu Nov 10 17:29:06 GMT 2022","10771","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""TeXML"" doc page from the main page",""
"passed","Thu Nov 10 17:24:02 GMT 2022","Thu Nov 10 17:24:13 GMT 2022","11246","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
