"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 14:17:33 GMT 2022","Thu Nov 10 14:18:00 GMT 2022","26845","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"passed","Thu Nov 10 13:56:35 GMT 2022","Thu Nov 10 13:57:05 GMT 2022","30420","chromium","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Integrations page from main page and become a Beta Tester by filling in the all fields with random valid data",""
"passed","Thu Nov 10 13:57:02 GMT 2022","Thu Nov 10 13:57:36 GMT 2022","33770","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the MS Teams integrations page in the marketplace from the Main page",""
"broken","Thu Nov 10 14:10:00 GMT 2022","Thu Nov 10 14:10:55 GMT 2022","55782","webkit","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"broken","Thu Nov 10 14:09:28 GMT 2022","Thu Nov 10 14:10:24 GMT 2022","55605","webkit","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
"broken","Thu Nov 10 14:01:43 GMT 2022","Thu Nov 10 14:02:45 GMT 2022","62443","firefox","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"passed","Thu Nov 10 14:18:08 GMT 2022","Thu Nov 10 14:18:41 GMT 2022","33071","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 13:56:29 GMT 2022","Thu Nov 10 13:56:59 GMT 2022","29116","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"passed","Thu Nov 10 13:57:49 GMT 2022","Thu Nov 10 13:58:31 GMT 2022","42086","firefox","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Integrations page from main page and become a Beta Tester by filling in the all fields with random valid data",""
"passed","Thu Nov 10 14:15:53 GMT 2022","Thu Nov 10 14:16:28 GMT 2022","35349","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""TeXML"" doc page from the main page",""
"passed","Thu Nov 10 14:16:27 GMT 2022","Thu Nov 10 14:17:07 GMT 2022","40223","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for the ""Messaging API"" service",""
"passed","Thu Nov 10 14:15:09 GMT 2022","Thu Nov 10 14:15:53 GMT 2022","43501","Microsoft Edge","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"broken","Thu Nov 10 14:13:24 GMT 2022","Thu Nov 10 14:14:18 GMT 2022","54209","webkit","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"broken","Thu Nov 10 14:12:20 GMT 2022","Thu Nov 10 14:13:14 GMT 2022","54211","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the random Use Case article from the Main page",""
"broken","Thu Nov 10 14:01:28 GMT 2022","Thu Nov 10 14:02:28 GMT 2022","59661","firefox","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"broken","Thu Nov 10 14:19:06 GMT 2022","Thu Nov 10 14:19:56 GMT 2022","50229","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"passed","Thu Nov 10 14:16:28 GMT 2022","Thu Nov 10 14:17:08 GMT 2022","39555","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"passed","Thu Nov 10 14:00:40 GMT 2022","Thu Nov 10 14:01:16 GMT 2022","36104","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"passed","Thu Nov 10 14:00:46 GMT 2022","Thu Nov 10 14:01:22 GMT 2022","36089","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""Programmable Wireless Reporting and Analytics"" support article from the Main page",""
"broken","Thu Nov 10 13:59:41 GMT 2022","Thu Nov 10 14:00:33 GMT 2022","51384","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"broken","Thu Nov 10 14:05:42 GMT 2022","Thu Nov 10 14:06:41 GMT 2022","59068","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"broken","Thu Nov 10 14:09:59 GMT 2022","Thu Nov 10 14:10:54 GMT 2022","55012","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""Programmable Wireless Reporting and Analytics"" support article from the Main page",""
"broken","Thu Nov 10 14:09:30 GMT 2022","Thu Nov 10 14:10:26 GMT 2022","55531","webkit","contact.support.spec.ts","Test suite with support contact cases","","","Go to ""Contact us"" page from the Main page and request support by filling all fields with random valid data",""
