"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 16:32:57 GMT 2022","Thu Nov 10 16:33:06 GMT 2022","8597","firefox","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"passed","Thu Nov 10 16:49:57 GMT 2022","Thu Nov 10 16:50:07 GMT 2022","9609","Microsoft Edge","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
"passed","Thu Nov 10 16:48:50 GMT 2022","Thu Nov 10 16:49:35 GMT 2022","44712","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
"passed","Thu Nov 10 16:49:46 GMT 2022","Thu Nov 10 16:49:57 GMT 2022","11591","Microsoft Edge","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"passed","Thu Nov 10 16:44:38 GMT 2022","Thu Nov 10 16:45:21 GMT 2022","42311","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the MS Teams integrations page in the marketplace from the Main page",""
"passed","Thu Nov 10 16:39:12 GMT 2022","Thu Nov 10 16:39:40 GMT 2022","28156","webkit","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
"failed","Thu Nov 10 16:32:10 GMT 2022","Thu Nov 10 16:33:18 GMT 2022","68805","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website with blocked account with valid data on the Main page",""
"passed","Thu Nov 10 16:31:12 GMT 2022","Thu Nov 10 16:31:20 GMT 2022","7765","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
"passed","Thu Nov 10 16:54:31 GMT 2022","Thu Nov 10 16:54:47 GMT 2022","16010","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Voice API"" service",""
"passed","Thu Nov 10 16:31:43 GMT 2022","Thu Nov 10 16:31:48 GMT 2022","5259","firefox","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
