"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 10 20:50:59 GMT 2022","Thu Nov 10 20:51:48 GMT 2022","48722","webkit","contact.support.spec.ts","Test suite with support contact cases","","","Go to ""Contact us"" page from the Main page and request support by filling all fields with random valid data",""
"passed","Thu Nov 10 20:51:21 GMT 2022","Thu Nov 10 20:51:57 GMT 2022","36839","webkit","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"passed","Thu Nov 10 20:56:08 GMT 2022","Thu Nov 10 20:56:22 GMT 2022","13291","Microsoft Edge","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"passed","Thu Nov 10 20:33:24 GMT 2022","Thu Nov 10 20:33:32 GMT 2022","8022","firefox","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"passed","Thu Nov 10 20:36:28 GMT 2022","Thu Nov 10 20:36:44 GMT 2022","15243","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"broken","Thu Nov 10 20:45:36 GMT 2022","Thu Nov 10 20:49:39 GMT 2022","243193","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"passed","Thu Nov 10 20:36:14 GMT 2022","Thu Nov 10 20:36:28 GMT 2022","13960","firefox","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Voice API"" service",""
"passed","Thu Nov 10 20:53:37 GMT 2022","Thu Nov 10 20:54:22 GMT 2022","45142","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without email with valid data on the Main page",""
"passed","Thu Nov 10 20:54:22 GMT 2022","Thu Nov 10 20:55:06 GMT 2022","43727","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
"passed","Thu Nov 10 20:55:54 GMT 2022","Thu Nov 10 20:56:08 GMT 2022","14267","Microsoft Edge","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Integrations page from main page and become a Beta Tester by filling in the all fields with random valid data",""
"passed","Thu Nov 10 20:56:22 GMT 2022","Thu Nov 10 20:56:40 GMT 2022","18203","Microsoft Edge","contact.support.spec.ts","Test suite with support contact cases","","","Go to ""Contact us"" page from the Main page and request support by filling all fields with random valid data",""
"passed","Thu Nov 10 20:46:54 GMT 2022","Thu Nov 10 20:47:30 GMT 2022","35237","webkit","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"passed","Thu Nov 10 21:01:42 GMT 2022","Thu Nov 10 21:01:53 GMT 2022","10409","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"passed","Thu Nov 10 20:52:42 GMT 2022","Thu Nov 10 20:53:37 GMT 2022","54836","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website with blocked account with valid data on the Main page",""
"passed","Thu Nov 10 20:56:43 GMT 2022","Thu Nov 10 20:56:59 GMT 2022","15451","Microsoft Edge","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"passed","Thu Nov 10 20:32:01 GMT 2022","Thu Nov 10 20:32:08 GMT 2022","6935","chromium","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"passed","Thu Nov 10 20:31:50 GMT 2022","Thu Nov 10 20:32:04 GMT 2022","13840","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the MS Teams integrations page in the marketplace from the Main page",""
"passed","Thu Nov 10 20:31:08 GMT 2022","Thu Nov 10 20:31:23 GMT 2022","14708","chromium","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"passed","Thu Nov 10 20:33:53 GMT 2022","Thu Nov 10 20:33:59 GMT 2022","6214","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""TeXML"" doc page from the main page",""
"passed","Thu Nov 10 21:05:13 GMT 2022","Thu Nov 10 21:05:21 GMT 2022","7400","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
"passed","Thu Nov 10 20:33:20 GMT 2022","Thu Nov 10 20:33:24 GMT 2022","4585","firefox","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
"passed","Thu Nov 10 20:56:34 GMT 2022","Thu Nov 10 20:56:43 GMT 2022","9022","Microsoft Edge","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
"broken","Thu Nov 10 21:10:47 GMT 2022","Thu Nov 10 21:14:48 GMT 2022","240408","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website with blocked account with valid data on the Main page",""
"passed","Thu Nov 10 20:32:31 GMT 2022","Thu Nov 10 20:32:38 GMT 2022","7636","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without email with valid data on the Main page",""
"passed","Thu Nov 10 20:32:46 GMT 2022","Thu Nov 10 20:32:55 GMT 2022","9165","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 20:45:19 GMT 2022","Thu Nov 10 20:45:31 GMT 2022","12106","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
